Taxa	SD_unadj	SD_adj	SD_rn	PH_unadj	PH_adj	PH_rn	NDVI_unadj	NDVI_adj	NDVI_rn	GR_unadj	GR_adj	GR_rn	GY_unadj	GY_adj	GY_rn	TKW_unadj	TKW_adj	TKW_rn	TW_unadj	TW_adj	TW_rn
KSTdGD80.317	0.932029737	0.653020615	0.820971433	-0.102549952	-0.369738792	-0.136046975	0.003520545	-0.04645691	0.171143286	-1.157596327	-0.967885999	-1.418924542	-1.073395762	-1.952814799	-1.673293528	1.41938581	0.911660905	0.787819655	0.989344294	-0.058964385	0.616433159
KSTdGD80.318	-0.190604705	-0.46092505	-0.228845571	0.914424913	0.672278436	0.810758235	-0.214621059	-0.257635319	-0.056111124	0.230912057	0.400084701	-0.129463096	-1.55228528	-2.591651363	-2.573978891	1.965126829	1.469925884	1.100628868	0.975988982	-0.215460491	0.792486057
KSTdGD80.319	0.805263677	0.521957679	0.698100171	-0.715152581	-0.952198391	-0.899485551	-0.249945683	-0.295245997	-0.066230393	-0.091124688	0.103485897	-0.492168623	-0.2468433	-1.398538887	-1.505966982	1.219500589	0.603262088	0.001858898	0.616734562	-0.74792526	0.327923168
KSTdGD80.32	0.271190365	0.026323701	0.218407965	0.230907965	-0.04487983	0.122444913	0.167517499	0.117334617	0.276804279	-0.225039539	-0.117864785	-0.404121787	0.470822597	-0.438069595	-0.586905103	-0.344894294	-0.916670545	-1.391921591	1.951822484	0.426178365	1.538993844
KSTdGD80.320	-0.56994463	-0.880396242	-0.622303279	-0.69747375	-0.973442336	-0.767400864	0.143046096	0.117915425	0.320022882	-0.214292146	-0.03509658	-0.543704712	-0.854125294	-1.156491552	-1.578570911	0.979720079	0.419215456	0.045692667	0.281018573	-0.74466583	-0.01581227
KSTdGD80.322	0.739470946	0.409712863	0.55233649	-0.895006166	-1.194403859	-0.848593371	0.280172856	0.229000864	0.440665543	-1.121549873	-0.922493423	-1.452807514	-1.621691481	-1.793655067	-1.848005013	0.626839722	0.005682206	-0.356737112	1.101983437	-0.115604249	0.796758449
KSTdGD80.323	-0.842340049	-1.186410384	-1.149631819	0.424458338	0.084188666	0.33506264	0.13827417	0.089936267	0.215444595	0.085106243	0.283584043	-0.298215169	-0.805051684	-0.879481751	-0.971514008	1.549996032	0.978705492	0.575331811	-0.447787175	-1.480344842	-0.68326931
KSTdGD80.324	0.584897831	0.279701588	0.421224334	0.441326575	0.160296074	0.259917641	0.233319997	0.188913117	0.390297766	0.318628974	0.503866548	-0.010754275	0.505787782	0.189611189	0.042129443	0.762981516	0.141865202	-0.308181673	0.875079073	-0.284522219	0.584063235
KSTdGD80.326	-0.211757325	-0.47702228	-0.377540487	-0.244869928	-0.48673443	-0.317407853	0.08549717	0.045726499	0.210237208	-0.087748602	0.071695349	-0.323923971	0.003575863	-0.268208202	-0.594928795	2.270169733	1.666471821	1.107501145	0.922989643	-0.223800359	0.534048759
KSTdGD80.327	0.673642167	0.407624494	0.554720417	-0.432297187	-0.686887381	-0.51499933	-0.209172166	-0.242406759	-0.088493052	0.084305179	0.241090403	-0.125676071	0.193925361	-0.190454016	-0.447850677	0.509046527	-0.041960979	-0.623709202	0.640789621	-0.471760427	0.352020455
KSTdGD80.329	0.516538786	0.229954726	0.446903547	-0.954232818	-1.224322854	-1.095013507	-0.009546161	-0.064514196	0.195555802	-0.042007524	0.160231256	-0.165855444	-0.089988414	-0.513128941	-0.7583612	0.054083158	-0.55242984	-1.043177731	0.103717253	-1.086034065	-0.144081981
KSTdGD80.330	0.530194752	0.24292326	0.494034044	0.015324931	-0.254397043	-0.007512435	0.126416956	0.097574408	0.282431324	-0.997985166	-0.816765682	-1.377466104	0.357635037	-0.175154279	-0.355702106	0.128107152	-0.437331048	-0.77900586	1.143135233	-0.060645358	0.762459107
KSTdGD80.331	-0.554888032	-0.819413165	-0.601760267	-0.207537107	-0.491894428	-0.234525652	0.101566174	0.065337562	0.207360941	-1.182070905	-1.007308409	-1.467503567	-0.088903942	-0.883261678	-0.868279252	0.866017486	0.322409678	-0.010135787	-0.196540113	-1.418109611	-0.501047063
KSTdGD80.333	-0.310443418	-0.617267973	-0.373887719	-1.243320302	-1.507758342	-1.252379998	0.028095002	-0.023699593	0.243447431	0.16922714	0.36864257	-0.196183148	-0.985159623	-1.342243631	-1.418380497	0.414771954	-0.079441609	-0.373476808	0.253853853	-0.714282592	0.04016563
KSTdGD80.335	-0.013069146	-0.293786899	-0.197287406	0.024721316	-0.25215524	-0.207723524	0.342575857	0.282181428	0.483043835	0.01211008	0.194270382	-0.256568395	-0.023975833	-0.397720148	-0.372005716	-0.720536537	-1.316778169	-1.777323593	-0.120788255	-1.258425454	-0.441924536
KSTdGD80.336	-0.455145034	-0.716714436	-0.559287824	0.373994506	0.14751327	0.294901459	-0.39166549	-0.430848844	-0.227871305	-0.757935697	-0.58912615	-0.933912884	-1.451063565	-2.135179265	-2.041584048	2.801301355	2.217989104	1.864464874	-0.175030281	-1.431165281	-0.535905547
KSTdGD80.337	0.112994802	-0.193951188	-0.001984489	0.029135713	-0.213430173	-0.08558442	-0.028880656	-0.054413721	0.120884816	-0.040995461	0.133836428	-0.202905938	0.182449202	0.001449716	-0.16377821	0.20399807	-0.368388641	-0.713266489	1.08719799	0.064812251	0.715632214
KSTdGD80.339	-0.715413383	-1.017044172	-0.842242292	-0.549460827	-0.804696888	-0.643763557	0.249003271	0.223078671	0.377844967	-0.304141608	-0.113457863	-0.541915859	0.137795786	-0.233047733	-0.618556721	0.333337676	-0.246091471	-0.756105384	-0.009403354	-1.138583562	-0.28590983
KSTdGD80.340	1.031015438	0.714670589	0.765826439	-0.542782818	-0.826327244	-0.681517577	0.113458772	0.079339097	0.23044461	-0.568270414	-0.38339099	-0.842777999	-0.997033279	-1.467566979	-1.868877493	0.045775623	-0.570784867	-0.963638374	1.729748826	0.514568476	1.411272258
KSTdGD80.341	0.31690153	0.018927739	0.225488044	-0.263451485	-0.545334339	-0.347612984	-0.151913786	-0.19010392	0.008596305	-0.66721385	-0.476041026	-1.05316948	0.566749121	-0.28264643	-0.468512884	0.004116588	-0.581781723	-1.142943762	1.217215077	-0.076744386	0.951794479
KSTdGD80.343	0.734363896	0.418120281	0.487977647	0.33962481	0.060359114	0.078766161	0.454852884	0.412566462	0.589508897	0.178661097	0.378618488	-0.248016397	-0.214472042	-0.273474774	-0.728740059	1.240088644	0.623329189	0.417060466	0.221973665	-0.879838518	-0.184419454
KSTdGD80.345	0.085368254	-0.218524453	-0.025776288	-0.264839534	-0.535013862	-0.255014717	0.336831339	0.320668987	0.425677933	-0.276852699	-0.094285853	-0.594628779	0.494757891	0.303930901	-0.131299373	0.272389145	-0.373163663	-0.694415044	0.593364227	-0.553994431	0.124088682
KSTdGD80.346	-0.112080651	-0.409957503	-0.08791771	-0.508407653	-0.772339868	-0.574163238	0.081665153	0.035603232	0.25541067	0.103121722	0.274868603	-0.226031425	0.208652689	-0.031151815	-0.587188616	0.319048831	-0.309803778	-0.836907616	0.407954585	-0.656102121	0.036120874
KSTdGD80.348	0.476250639	0.200062769	0.358876966	0.088554645	-0.156197984	0.10478395	0.181337625	0.162063836	0.316682212	-0.223158403	-0.064482626	-0.528751042	0.215279556	-0.603529693	-0.613637543	0.499422907	-0.060616017	-0.546770348	0.722194622	-0.529151605	0.498681399
KSTdGD80.349	-0.373489406	-0.67954167	-0.508062883	-0.628630481	-0.909698037	-0.667802552	-0.41676377	-0.458785797	-0.279227485	0.383837188	0.600499442	0.052292762	-1.301194075	-1.210111786	-1.316858525	2.336416478	1.693544648	1.320157761	0.080692604	-1.033324069	0.007786779
